2 1942,0 0,1 0,0;2 1942,0 0,0 1,0;
1942 1943,0 0,1 0,0;1942 1943,0 0,0 1,0;
1943 1944,0 0,1 0,0;1943 1944,0 0,0 1,0;
1944 1945,0 0,1 0,0;1944 1945,0 0,0 1,0;
1945 1946,0 0,1 0,0;1945 1946,0 0,0 1,0;
1946 1947,0 0,1 0,0;1946 1947,0 0,0 1,0;
1947 1948,0 0,1 0,0;1947 1948,0 0,0 1,0;
1948 1949,0 0,1 0,0;1948 1949,0 0,0 1,0;
1949 1950,0 0,1 0,0;1949 1950,0 0,0 1,0;
1950 1951,0 0,1 0,0;1950 1951,0 0,0 1,0;
1951 1952,0 0,1 0,0;1951 1952,0 0,0 1,0;
1952 1953,0 0,1 0,0;1952 1953,0 0,0 1,0;
1953 1954,0 0,1 0,0;1953 1954,0 0,0 1,0;
1954 1955,0 0,1 0,0;1954 1955,0 0,0 1,0;
1955 1956,0 0,1 0,0;1955 1956,0 0,0 1,0;
3 1956,0 0,1 0,0;3 1956,0 0,0 1,0;
3 4 5,0 1 2,1 1 1,1.091745092582695;3 4 5,0 0 1,1 0 1,1.091745092582695;3 4 5,0 0 1,0 1 1,1.091745092582695;3 4 5,0 1 0,1 1 0,1.091745092582695;3 4 5,0 1 0,0 1 1,1.091745092582695;3 4 5,0 1 1,1 1 0,1.091745092582695;3 4 5,0 1 1,1 0 1,1.091745092582695;3 4 5,0 0 0,1 0 0,1.091745092582695;3 4 5,0 0 0,0 1 0,1.091745092582695;3 4 5,0 0 0,0 0 1,1.091745092582695;
4 1957,0 0,1 0,0;4 1957,0 0,0 1,0;
1957 1958,0 0,1 0,0;1957 1958,0 0,0 1,0;
1958 1959,0 0,1 0,0;1958 1959,0 0,0 1,0;
1959 1960,0 0,1 0,0;1959 1960,0 0,0 1,0;
1960 1961,0 0,1 0,0;1960 1961,0 0,0 1,0;
1961 1962,0 0,1 0,0;1961 1962,0 0,0 1,0;
1962 1963,0 0,1 0,0;1962 1963,0 0,0 1,0;
1963 1964,0 0,1 0,0;1963 1964,0 0,0 1,0;
1964 1965,0 0,1 0,0;1964 1965,0 0,0 1,0;
1965 1966,0 0,1 0,0;1965 1966,0 0,0 1,0;
1966 1967,0 0,1 0,0;1966 1967,0 0,0 1,0;
7 1967,0 0,1 0,0;7 1967,0 0,0 1,0;
