1,0,1,0;
1 2327,0 0,1 0,0;1 2327,0 0,0 1,0;
2327 2328,0 0,1 0,0;2327 2328,0 0,0 1,0;
2328 2329,0 0,1 0,0;2328 2329,0 0,0 1,0;
2329 2330,0 0,1 0,0;2329 2330,0 0,0 1,0;
2330 2331,0 0,1 0,0;2330 2331,0 0,0 1,0;
2331 2332,0 0,1 0,0;2331 2332,0 0,0 1,0;
2332 2333,0 0,1 0,0;2332 2333,0 0,0 1,0;
3 2333,0 0,1 0,0;3 2333,0 0,0 1,0;
3 4 5,0 1 2,1 1 1,1.078400351843394;3 4 5,0 0 1,1 0 1,1.078400351843394;3 4 5,0 0 1,0 1 1,1.078400351843394;3 4 5,0 1 0,1 1 0,1.078400351843394;3 4 5,0 1 0,0 1 1,1.078400351843394;3 4 5,0 1 1,1 1 0,1.078400351843394;3 4 5,0 1 1,1 0 1,1.078400351843394;3 4 5,0 0 0,1 0 0,1.078400351843394;3 4 5,0 0 0,0 1 0,1.078400351843394;3 4 5,0 0 0,0 0 1,1.078400351843394;
4 2334,0 0,1 0,0;4 2334,0 0,0 1,0;
2334 2335,0 0,1 0,0;2334 2335,0 0,0 1,0;
2335 2336,0 0,1 0,0;2335 2336,0 0,0 1,0;
2336 2337,0 0,1 0,0;2336 2337,0 0,0 1,0;
2337 2338,0 0,1 0,0;2337 2338,0 0,0 1,0;
2338 2339,0 0,1 0,0;2338 2339,0 0,0 1,0;
2339 2340,0 0,1 0,0;2339 2340,0 0,0 1,0;
2340 2341,0 0,1 0,0;2340 2341,0 0,0 1,0;
2341 2342,0 0,1 0,0;2341 2342,0 0,0 1,0;
2342 2343,0 0,1 0,0;2342 2343,0 0,0 1,0;
2343 2344,0 0,1 0,0;2343 2344,0 0,0 1,0;
2344 2345,0 0,1 0,0;2344 2345,0 0,0 1,0;
2345 2346,0 0,1 0,0;2345 2346,0 0,0 1,0;
2346 2347,0 0,1 0,0;2346 2347,0 0,0 1,0;
2347 2348,0 0,1 0,0;2347 2348,0 0,0 1,0;
2348 2349,0 0,1 0,0;2348 2349,0 0,0 1,0;
2349 2350,0 0,1 0,0;2349 2350,0 0,0 1,0;
2350 2351,0 0,1 0,0;2350 2351,0 0,0 1,0;
2351 2352,0 0,1 0,0;2351 2352,0 0,0 1,0;
2352 2353,0 0,1 0,0;2352 2353,0 0,0 1,0;
2353 2354,0 0,1 0,0;2353 2354,0 0,0 1,0;
2354 2355,0 0,1 0,0;2354 2355,0 0,0 1,0;
2355 2356,0 0,1 0,0;2355 2356,0 0,0 1,0;
2356 2357,0 0,1 0,0;2356 2357,0 0,0 1,0;
2357 2358,0 0,1 0,0;2357 2358,0 0,0 1,0;
2358 2359,0 0,1 0,0;2358 2359,0 0,0 1,0;
2359 2360,0 0,1 0,0;2359 2360,0 0,0 1,0;
2360 2361,0 0,1 0,0;2360 2361,0 0,0 1,0;
2361 2362,0 0,1 0,0;2361 2362,0 0,0 1,0;
2362 2363,0 0,1 0,0;2362 2363,0 0,0 1,0;
2363 2364,0 0,1 0,0;2363 2364,0 0,0 1,0;
2364 2365,0 0,1 0,0;2364 2365,0 0,0 1,0;
2365 2366,0 0,1 0,0;2365 2366,0 0,0 1,0;
2366 2367,0 0,1 0,0;2366 2367,0 0,0 1,0;
2367 2368,0 0,1 0,0;2367 2368,0 0,0 1,0;
2368 2369,0 0,1 0,0;2368 2369,0 0,0 1,0;
2369 2370,0 0,1 0,0;2369 2370,0 0,0 1,0;
2370 2371,0 0,1 0,0;2370 2371,0 0,0 1,0;
2371 2372,0 0,1 0,0;2371 2372,0 0,0 1,0;
2372 2373,0 0,1 0,0;2372 2373,0 0,0 1,0;
2373 2374,0 0,1 0,0;2373 2374,0 0,0 1,0;
2374 2375,0 0,1 0,0;2374 2375,0 0,0 1,0;
2375 2376,0 0,1 0,0;2375 2376,0 0,0 1,0;
2376 2377,0 0,1 0,0;2376 2377,0 0,0 1,0;
2377 2378,0 0,1 0,0;2377 2378,0 0,0 1,0;
2378 2379,0 0,1 0,0;2378 2379,0 0,0 1,0;
2379 2380,0 0,1 0,0;2379 2380,0 0,0 1,0;
2380 2381,0 0,1 0,0;2380 2381,0 0,0 1,0;
2381 2382,0 0,1 0,0;2381 2382,0 0,0 1,0;
2382 2383,0 0,1 0,0;2382 2383,0 0,0 1,0;
2383 2384,0 0,1 0,0;2383 2384,0 0,0 1,0;
2384 2385,0 0,1 0,0;2384 2385,0 0,0 1,0;
7 2385,0 0,1 0,0;7 2385,0 0,0 1,0;
7 8 9,0 1 2,1 1 1,1.0787517677601295;7 8 9,0 0 1,0 1 1,1.0024121986021706;7 8 9,0 0 1,1 0 1,1.0787239671073996;7 8 9,0 1 0,0 1 1,1.0036150443754006;7 8 9,0 1 0,1 1 0,1.0784281524961241;7 8 9,0 1 1,1 1 0,1.0784281524961241;7 8 9,0 1 1,1 0 1,1.0787239671073996;7 8 9,0 0 0,0 1 0,1.0021074106011938;7 8 9,0 0 0,0 0 1,1.0022724451761074;7 8 9,0 0 0,1 0 0,1.078400351843394;
8 2386,0 0,1 0,0;8 2386,0 0,0 1,0;
2386 2387,0 0,1 0,0;2386 2387,0 0,0 1,0;
2387 2388,0 0,1 0,0;2387 2388,0 0,0 1,0;
2388 2389,0 0,1 0,0;2388 2389,0 0,0 1,0;
2389 2390,0 0,1 0,0;2389 2390,0 0,0 1,0;
2390 2391,0 0,1 0,0;2390 2391,0 0,0 1,0;
2391 2392,0 0,1 0,0;2391 2392,0 0,0 1,0;
2392 2393,0 0,1 0,0;2392 2393,0 0,0 1,0;
2393 2394,0 0,1 0,0;2393 2394,0 0,0 1,0;
2394 2395,0 0,1 0,0;2394 2395,0 0,0 1,0;
2395 2396,0 0,1 0,0;2395 2396,0 0,0 1,0;
2396 2397,0 0,1 0,0;2396 2397,0 0,0 1,0;
2397 2398,0 0,1 0,0;2397 2398,0 0,0 1,0;
11 2398,0 0,1 0,0;11 2398,0 0,0 1,0;
11 12 13,0 1 2,1 1 1,1.0100914247870558;11 12 13,0 0 1,1 0 1,1.0044004769351702;11 12 13,0 0 1,0 1 1,1.0032267402648705;11 12 13,0 1 0,1 1 0,1.0037991663011716;11 12 13,0 1 0,0 1 1,1.0044034570884384;11 12 13,0 1 1,1 1 0,1.0028669637429304;11 12 13,0 1 1,1 0 1,1.0047229087029488;11 12 13,0 0 0,1 0 0,1.0025310563496959;11 12 13,0 0 0,0 1 0,1.0017057025309468;11 12 13,0 0 0,0 0 1,1.0038158543998628;
12 2399,0 0,1 0,0;12 2399,0 0,0 1,0;
2399 2400,0 0,1 0,0;2399 2400,0 0,0 1,0;
2400 2401,0 0,1 0,0;2400 2401,0 0,0 1,0;
2401 2402,0 0,1 0,0;2401 2402,0 0,0 1,0;
2402 2403,0 0,1 0,0;2402 2403,0 0,0 1,0;
2403 2404,0 0,1 0,0;2403 2404,0 0,0 1,0;
2404 2405,0 0,1 0,0;2404 2405,0 0,0 1,0;
2405 2406,0 0,1 0,0;2405 2406,0 0,0 1,0;
2406 2407,0 0,1 0,0;2406 2407,0 0,0 1,0;
2407 2408,0 0,1 0,0;2407 2408,0 0,0 1,0;
15 2408,0 0,1 0,0;15 2408,0 0,0 1,0;
16 17,0 0,1 0,0;16 17,0 0,0 1,0;
16 18 19,0 1 2,1 1 1,1.0087538290500968;16 18 19,0 0 1,1 0 1,1.003220282300074;16 18 19,0 0 1,0 1 1,1.0024794978877052;16 18 19,0 1 0,1 1 0,1.0031523619775926;16 18 19,0 1 0,0 1 1,1.0033089433042246;16 18 19,0 1 1,1 1 0,1.0026914229516817;16 18 19,0 1 1,1 0 1,1.003780401097424;16 18 19,0 0 0,1 0 0,1.0019304827577968;16 18 19,0 0 0,0 1 0,1.0011991072532263;16 18 19,0 0 0,0 0 1,1.0022395646265991;
18 2409,0 0,1 0,0;18 2409,0 0,0 1,0;
2409 2410,0 0,1 0,0;2409 2410,0 0,0 1,0;
2410 2411,0 0,1 0,0;2410 2411,0 0,0 1,0;
2411 2412,0 0,1 0,0;2411 2412,0 0,0 1,0;
2412 2413,0 0,1 0,0;2412 2413,0 0,0 1,0;
2413 2414,0 0,1 0,0;2413 2414,0 0,0 1,0;
21 2414,0 0,1 0,0;21 2414,0 0,0 1,0;
21 22 23 24,0 1 2 3,1 1 1 1,1.0096286549205857;21 22 23 24,0 0 1 2,1 0 1 1,1.004401091127998;21 22 23 24,0 0 1 2,0 1 1 1,1.0045303207882628;21 22 23 24,0 1 0 2,1 1 0 1,1.0056347227644986;21 22 23 24,0 1 0 2,0 1 1 1,1.0044108570422174;21 22 23 24,0 1 1 2,1 1 0 1,1.0047451700908911;21 22 23 24,0 1 1 2,1 0 1 1,1.003613757299829;21 22 23 24,0 0 0 1,1 0 0 1,1.0043426921952798;21 22 23 24,0 0 0 1,0 1 0 1,1.0041566918738056;21 22 23 24,0 0 0 1,0 0 1 1,1.0026449732524274;21 22 23 24,0 1 2 0,0 1 1 1,1.0039955618840624;21 22 23 24,0 1 2 0,1 1 1 0,1.0052999055151048;21 22 23 24,0 1 2 1,1 0 1 1,1.0037938218607725;21 22 23 24,0 1 2 1,1 1 1 0,1.005175213936347;21 22 23 24,0 1 2 2,1 1 0 1,1.0064403202617254;21 22 23 24,0 1 2 2,1 1 1 0,1.0068511294742917;21 22 23 24,0 0 1 0,0 0 1 1,1.0026449732524274;21 22 23 24,0 0 1 0,1 0 1 0,1.0038212783115357;21 22 23 24,0 0 1 0,0 1 1 0,1.003808255149681;21 22 23 24,0 0 1 1,1 0 0 1,1.0027362416237011;21 22 23 24,0 0 1 1,1 0 1 0,1.0028767796423483;21 22 23 24,0 0 1 1,0 1 0 1,1.0028460342012189;21 22 23 24,0 0 1 1,0 1 1 0,1.0029901357177022;21 22 23 24,0 1 0 0,0 1 0 1,1.004754013577185;21 22 23 24,0 1 0 0,1 1 0 0,1.0061241085149597;21 22 23 24,0 1 0 0,0 1 1 0,1.0034916929181092;21 22 23 24,0 1 0 1,1 0 0 1,1.0019956874822462;21 22 23 24,0 1 0 1,1 1 0 0,1.003092654334454;21 22 23 24,0 1 0 1,0 0 1 1,1.0011626410839438;21 22 23 24,0 1 0 1,0 1 1 0,1.0021899536584808;21 22 23 24,0 1 1 0,0 1 0 1,1.0017420069070107;21 22 23 24,0 1 1 0,0 0 1 1,1.0008579350131284;21 22 23 24,0 1 1 0,1 1 0 0,1.0026686874321618;21 22 23 24,0 1 1 0,1 0 1 0,1.001732552976816;21 22 23 24,0 1 1 1,1 0 0 1,1.0042692064495515;21 22 23 24,0 1 1 1,1 1 0 0,1.0061241085149597;21 22 23 24,0 1 1 1,1 0 1 0,1.0041759583641154;21 22 23 24,0 0 0 0,0 0 0 1,1.0018449643680563;21 22 23 24,0 0 0 0,1 0 0 0,1.0032199952298113;21 22 23 24,0 0 0 0,0 1 0 0,1.0030823013451555;21 22 23 24,0 0 0 0,0 0 1 0,1.001787196768668;
22 2415,0 0,1 0,0;22 2415,0 0,0 1,0;
2415 2416,0 0,1 0,0;2415 2416,0 0,0 1,0;
2416 2417,0 0,1 0,0;2416 2417,0 0,0 1,0;
2417 2418,0 0,1 0,0;2417 2418,0 0,0 1,0;
2418 2419,0 0,1 0,0;2418 2419,0 0,0 1,0;
2419 2420,0 0,1 0,0;2419 2420,0 0,0 1,0;
2420 2421,0 0,1 0,0;2420 2421,0 0,0 1,0;
2421 2422,0 0,1 0,0;2421 2422,0 0,0 1,0;
26 2422,0 0,1 0,0;26 2422,0 0,0 1,0;
2423 2424,0 0,1 0,0;2423 2424,0 0,0 1,0;
2423 2425,0 0,1 0,0;2423 2425,0 0,0 1,0;
2425 2426,0 0,1 0,0;2425 2426,0 0,0 1,0;
27 2426,0 0,1 0,0;27 2426,0 0,0 1,0;
29 30 31,0 1 2,1 1 1,1.078400351843394;29 30 31,0 0 1,1 0 1,1.078400351843394;29 30 31,0 0 1,0 1 1,1.078400351843394;29 30 31,0 1 0,1 1 0,1.078400351843394;29 30 31,0 1 0,0 1 1,1.078400351843394;29 30 31,0 1 1,1 1 0,1.078400351843394;29 30 31,0 1 1,1 0 1,1.078400351843394;29 30 31,0 0 0,1 0 0,1.078400351843394;29 30 31,0 0 0,0 1 0,1.078400351843394;29 30 31,0 0 0,0 0 1,1.078400351843394;
29 2427,0 0,1 0,0;29 2427,0 0,0 1,0;
2427 2428,0 0,1 0,0;2427 2428,0 0,0 1,0;
2428 2429,0 0,1 0,0;2428 2429,0 0,0 1,0;
2429 2430,0 0,1 0,0;2429 2430,0 0,0 1,0;
2430 2431,0 0,1 0,0;2430 2431,0 0,0 1,0;
2431 2432,0 0,1 0,0;2431 2432,0 0,0 1,0;
2432 2433,0 0,1 0,0;2432 2433,0 0,0 1,0;
2433 2434,0 0,1 0,0;2433 2434,0 0,0 1,0;
2434 2435,0 0,1 0,0;2434 2435,0 0,0 1,0;
2435 2436,0 0,1 0,0;2435 2436,0 0,0 1,0;
2436 2437,0 0,1 0,0;2436 2437,0 0,0 1,0;
2437 2438,0 0,1 0,0;2437 2438,0 0,0 1,0;
2438 2439,0 0,1 0,0;2438 2439,0 0,0 1,0;
2439 2440,0 0,1 0,0;2439 2440,0 0,0 1,0;
2440 2441,0 0,1 0,0;2440 2441,0 0,0 1,0;
2441 2442,0 0,1 0,0;2441 2442,0 0,0 1,0;
2442 2443,0 0,1 0,0;2442 2443,0 0,0 1,0;
2443 2444,0 0,1 0,0;2443 2444,0 0,0 1,0;
2444 2445,0 0,1 0,0;2444 2445,0 0,0 1,0;
2445 2446,0 0,1 0,0;2445 2446,0 0,0 1,0;
2446 2447,0 0,1 0,0;2446 2447,0 0,0 1,0;
2447 2448,0 0,1 0,0;2447 2448,0 0,0 1,0;
2448 2449,0 0,1 0,0;2448 2449,0 0,0 1,0;
2449 2450,0 0,1 0,0;2449 2450,0 0,0 1,0;
2450 2451,0 0,1 0,0;2450 2451,0 0,0 1,0;
2451 2452,0 0,1 0,0;2451 2452,0 0,0 1,0;
2452 2453,0 0,1 0,0;2452 2453,0 0,0 1,0;
2453 2454,0 0,1 0,0;2453 2454,0 0,0 1,0;
2454 2455,0 0,1 0,0;2454 2455,0 0,0 1,0;
2455 2456,0 0,1 0,0;2455 2456,0 0,0 1,0;
2456 2457,0 0,1 0,0;2456 2457,0 0,0 1,0;
2457 2458,0 0,1 0,0;2457 2458,0 0,0 1,0;
33 2458,0 0,1 0,0;33 2458,0 0,0 1,0;
33 34 35,0 1 2,1 1 1,1.078400351843394;33 34 35,0 0 1,1 0 1,1.078400351843394;33 34 35,0 0 1,0 1 1,1.078400351843394;33 34 35,0 1 0,1 1 0,1.078400351843394;33 34 35,0 1 0,0 1 1,1.078400351843394;33 34 35,0 1 1,1 1 0,1.078400351843394;33 34 35,0 1 1,1 0 1,1.078400351843394;33 34 35,0 0 0,1 0 0,1.078400351843394;33 34 35,0 0 0,0 1 0,1.078400351843394;33 34 35,0 0 0,0 0 1,1.078400351843394;
34 2459,0 0,1 0,0;34 2459,0 0,0 1,0;
2459 2460,0 0,1 0,0;2459 2460,0 0,0 1,0;
2460 2461,0 0,1 0,0;2460 2461,0 0,0 1,0;
2461 2462,0 0,1 0,0;2461 2462,0 0,0 1,0;
2462 2463,0 0,1 0,0;2462 2463,0 0,0 1,0;
2463 2464,0 0,1 0,0;2463 2464,0 0,0 1,0;
2464 2465,0 0,1 0,0;2464 2465,0 0,0 1,0;
2465 2466,0 0,1 0,0;2465 2466,0 0,0 1,0;
2466 2467,0 0,1 0,0;2466 2467,0 0,0 1,0;
2467 2468,0 0,1 0,0;2467 2468,0 0,0 1,0;
2468 2469,0 0,1 0,0;2468 2469,0 0,0 1,0;
2469 2470,0 0,1 0,0;2469 2470,0 0,0 1,0;
2470 2471,0 0,1 0,0;2470 2471,0 0,0 1,0;
